depth;name;parent_code_kemendagri;code_kemendagri
4;PUCOK KRUENG;11.01.10;11.01.10.2002
4;SILOLO;11.01.10;11.01.10.2003
4;KAMPUNG BARU;11.01.10;11.01.10.2004
4;PANTON BILI;11.01.10;11.01.10.2005
4;PAYA ATEUK;11.01.10;11.01.10.2006
4;LADANG TUHA;11.01.10;11.01.10.2007
4;MATA IE;11.01.10;11.01.10.2008
4;UJONG BATEE;11.01.10;11.01.10.2009
4;LHOK SIALANG CUT;11.01.10;11.01.10.2010
4;SEUNEUBOK;11.01.10;11.01.10.2011
4;IE MIRAH;11.01.10;11.01.10.2012
4;PASIE RASIAN;11.01.10;11.01.10.2013
4;UJUNG PADANG RASIAN;11.01.10;11.01.10.2014
4;KRUENG KALEE;11.01.10;11.01.10.2015
4;LHOK SIALANG RAYEUK;11.01.10;11.01.10.2016
4;GAMPONG BARO;11.01.10;11.01.10.2017
4;TEUPIN GAJAH;11.01.10;11.01.10.2018
4;UJUNG PADANG ASAHAN;11.01.10;11.01.10.2019
4;PULO IE II;11.01.10;11.01.10.2020
4;PANTE RAJA;11.01.10;11.01.10.2021
3;LABUHAN HAJI TIMUR;11.01;11.01.11
4;TENGAH PEULUMAT;11.01.11;11.01.11.2001
4;PAYA PEULUMAT;11.01.11;11.01.11.2002
4;PADANG PEULUMAT;11.01.11;11.01.11.2003
4;AUR PEULUMAT;11.01.11;11.01.11.2004
4;LIMAU SARING;11.01.11;11.01.11.2005
4;BEUTONG;11.01.11;11.01.11.2006
4;PEUNEULOP;11.01.11;11.01.11.2007
4;GUNUNG ROTAN;11.01.11;11.01.11.2008
4;KEUMUMU  HILIR;11.01.11;11.01.11.2009
4;KEUMUMU HULU;11.01.11;11.01.11.2010
4;KEUMUMU SEBERANG;11.01.11;11.01.11.2011
4;SAWANG INDAH;11.01.11;11.01.11.2012
3;LABUHAN HAJI BARAT;11.01;11.01.12
4;TUTONG;11.01.12;11.01.12.2001
4;TEUNGOH IBOH;11.01.12;11.01.12.2002
4;PEULOKAN;11.01.12;11.01.12.2003
4;KUTA IBOH;11.01.12;11.01.12.2004
4;UJUNG PADANG;11.01.12;11.01.12.2005
4;BLANG BARU;11.01.12;11.01.12.2006
4;BLANG POROH;11.01.12;11.01.12.2007
4;PULO IE;11.01.12;11.01.12.2008
4;SUAK LOKAN;11.01.12;11.01.12.2009
4;IKU LHUENG;11.01.12;11.01.12.2010
4;KUTA TRIENG;11.01.12;11.01.12.2011
4;PANTE GEULIMA;11.01.12;11.01.12.2012
4;PANTON PAWOH;11.01.12;11.01.12.2013
4;BATEE MEUCANANG;11.01.12;11.01.12.2014
4;PANTON RUBEK;11.01.12;11.01.12.2015
3;KLUET TENGAH;11.01;11.01.13
4;KOTO;11.01.13;11.01.13.2001
4;ALUR KEUJRUN;11.01.13;11.01.13.2002
4;JAMBO PAPAN;11.01.13;11.01.13.2003
4;MALAKA;11.01.13;11.01.13.2004
4;KOTO INDARUNG;11.01.13;11.01.13.2005
4;SIURAI-URAI;11.01.13;11.01.13.2006
4;KAMPUNG SAWAH;11.01.13;11.01.13.2007
4;KAMPUNG PADANG;11.01.13;11.01.13.2008
4;PULO AIR;11.01.13;11.01.13.2009
4;LAWE MELANG;11.01.13;11.01.13.2010
4;MERSAK;11.01.13;11.01.13.2011
4;SIMPANG DUA;11.01.13;11.01.13.2012
4;SIMPANG TIGA;11.01.13;11.01.13.2013
3;KLUET TIMUR;11.01;11.01.14
4;PAYA DAPUR;11.01.14;11.01.14.2001
4;SAPIK;11.01.14;11.01.14.2002
4;ALAI;11.01.14;11.01.14.2003
4;DURIAN KAWAN;11.01.14;11.01.14.2004
4;LAWE SAWAH;11.01.14;11.01.14.2005
4;LAWE BULUH DIDI;11.01.14;11.01.14.2006
4;PUCUK LEMBANG;11.01.14;11.01.14.2007
4;PAYA LABA;11.01.14;11.01.14.2008
4;LAWE CIMANOK;11.01.14;11.01.14.2009
3;BAKONGAN  TIMUR;11.01;11.01.15
4;PASIE SEUBADEH;11.01.15;11.01.15.2001
4;LADANG RIMBA;11.01.15;11.01.15.2002
4;UJONG PULO RAYEUK;11.01.15;11.01.15.2003
4;SAWAH TINGKEUM;11.01.15;11.01.15.2004
4;SIMPANG;11.01.15;11.01.15.2005
4;UJONG PULO CUT;11.01.15;11.01.15.2006
4;SEULEUKAT;11.01.15;11.01.15.2008
3;TRUMON TIMUR;11.01;11.01.16
4;PINTO RIMBA;11.01.16;11.01.16.2005
4;KRUENG LUAS;11.01.16;11.01.16.2006
4;JAMBO DALEM;11.01.16;11.01.16.2007
4;KAPA SESAK;11.01.16;11.01.16.2008
4;SEUNEUBOK PUNTO;11.01.16;11.01.16.2009
4;SEUNEUBOK PUSAKA;11.01.16;11.01.16.2010
4;ALUR BUJOK;11.01.16;11.01.16.2011
4;TITI POBEN;11.01.16;11.01.16.2012
3;KOTA BAHAGIA;11.01;11.01.17
4;BUKET GADENG;11.01.17;11.01.17.2001
4;RAMBONG;11.01.17;11.01.17.2002
4;SEUNEUBOK  KEURANJI;11.01.17;11.01.17.2003
4;SEUNEUBOK  ALUR BULOH;11.01.17;11.01.17.2004
4;UJONG TANOH;11.01.17;11.01.17.2005
4;UJONG GUNONG CUT;11.01.17;11.01.17.2006
4;UJONG GUNUNG RAYEUK;11.01.17;11.01.17.2007
4;BEUTONG;11.01.17;11.01.17.2008
4;JAMBO KEUPOK;11.01.17;11.01.17.2009
4;ALURDUAMAS;11.01.17;11.01.17.2010
3;TRUMON TENGAH;11.01;11.01.18
4;LADANG RIMBA;11.01.18;11.01.18.2001
4;GUNONG KAPHO;11.01.18;11.01.18.2002
4;KAMPONG TEUNGOH;11.01.18;11.01.18.2003
4;KRUENG BATEE;11.01.18;11.01.18.2004
4;PULO PAYA;11.01.18;11.01.18.2005
4;JAMBO PAPEUN;11.01.18;11.01.18.2006
4;COT BAYU;11.01.18;11.01.18.2007
4;NACA;11.01.18;11.01.18.2008
4;IE JEUREUNEH;11.01.18;11.01.18.2009
4;LHOK RAYA;11.01.18;11.01.18.2010
2;KAB. ACEH TENGGARA;11;11.02
3;LAWE ALAS;11.02;11.02.01
4;ENGKERAN;11.02.01;11.02.01.2001
4;RUMAH KAMPUNG;11.02.01;11.02.01.2002
4;PASIR BANGUN;11.02.01;11.02.01.2004
4;KUBU;11.02.01;11.02.01.2006
4;LAWE KONGKER;11.02.01;11.02.01.2007
4;KUTA CINGKAM II;11.02.01;11.02.01.2008
4;MUARA BARU;11.02.01;11.02.01.2009
4;KUTA BATU I;11.02.01;11.02.01.2011
4;KUTA CINGKAM I;11.02.01;11.02.01.2012
4;KUTA BATU II;11.02.01;11.02.01.2013
4;LAWE SEMPILANG;11.02.01;11.02.01.2014
